Academy College (Bloomington, MN)
Mount Mary University (Milwaukee, WI)
Nashotah House (Nashotah, WI)
Nicolet Area Technical College (Rhinelander, WI)
Northcentral Technical College (Wausau, WI)
Northeast Wisconsin Technical College (Green Bay, WI)
Northland College (Ashland, WI)
Ottawa University-Milwaukee (Brookfield, WI)
Panache Academy of Beauty (Baraboo, WI)
Paul Mitchell the School-Madison (Madison, WI)
Paul Mitchell the School-Milwaukee (Pawaukee, WI)
Rasmussen University-Wisconsin (Green Bay, WI)
Ripon College (Ripon, WI)
Sacred Heart Seminary and School of Theology (Franklin, WI)
Saint Norbert College (De Pere, WI)
Shepherds College (Union Grove, WI)
Southwest Wisconsin Technical College (Fennimore, WI)
State College of Beauty Culture Inc (Wausau, WI)
The Institute of Beauty and Wellness (Milwaukee, WI)
The Professional Hair Design Academy (Eau Claire, WI)
The Salon Professional Academy-Appleton (Appleton, WI)
The Salon Professional Academy-Kenosha (Kenosha, WI)
The Salon Professional Academy-Onalaska (Onalaska, WI)
Tricoci University of Beauty Culture-Janesville (Janesville, WI)
University of Wisconsin-Eau Claire (Eau Claire, WI)
University of Wisconsin-Green Bay (Green Bay, WI)
University of Wisconsin-La Crosse (La Crosse, WI)
University of Wisconsin-Madison (Madison, WI)
University of Wisconsin-Milwaukee (Milwaukee, WI)
University of Wisconsin-Milwaukee Flex (Milwaukee, WI)
University of Wisconsin-Oshkosh (Oshkosh, WI)
University of Wisconsin-Parkside (Kenosha, WI)
University of Wisconsin-Parkside Flex (Kenosha, WI)
University of Wisconsin-Platteville (Platteville, WI)
University of Wisconsin-River Falls (River Falls, WI)
University of Wisconsin-Stevens Point (Stevens Point, WI)
University of Wisconsin-Stout (Menomonie, WI)
University of Wisconsin-Superior (Superior, WI)
University of Wisconsin-System Administration (Madison, WI)
University of Wisconsin-Whitewater (Whitewater, WI)
VICI Beauty School (Greenfield, WI)
Viterbo University (La Crosse, WI)
Waukesha County Technical College (Pewaukee, WI)
Western Technical College (La Crosse, WI)
Wisconsin Indianhead Technical College (Shell Lake, WI)
Wisconsin Lutheran College (Milwaukee, WI)
Wisconsin School of Professional Psychology (Milwaukee, WI)
Wright Graduate University for the Realization of Human Potential (Elkhorn, WI)
Adler University (Chicago, IL)
Ambria College of Nursing (Hoffman Estates, IL)
American Academy of Art (Chicago, IL)
American Islamic College (Chicago, IL)
Augustana College (Rock Island, IL)
Aurora University (Aurora, IL)
Aveda Institute-Chicago (Chicago, IL)
Bell Mar Beauty College (Cicero, IL)
Benedictine University (Lisle, IL)
Bexley Hall Seabury Western Theological Seminary Federation, Inc. (Chicago, IL)
Black Hawk College (Moline, IL)
Blackburn College (Carlinville, IL)
Blessing Hospital School of Medical Laboratory Technology (Quincy, IL)
Blessing Hospital School of Radiologic Technology (Quincy, IL)
Blessing Rieman College of Nursing and Health Sciences (Quincy, IL)
Bradley University (Peoria, IL)
CAAN Academy of Nursing (Matteson, IL)
CALC Institute of Technology (Alton, IL)
Cameo Beauty Academy (Oak Lawn, IL)
Cannella School of Hair Design-Blue Island (Blue Island, IL)
Cannella School of Hair Design-Chicago (Chicago, IL)
Cannella School of Hair Design-Chicago (Chicago, IL)
Cannella School of Hair Design-Villa Park (Villa Park, IL)
Capital Area School of Practical Nursing (Springfield, IL)
Capri Beauty College (New Lenox, IL)
Capri Beauty College (Oak Forest, IL)
Career Center of Southern Illinois (Red Bud, IL)
Carl Sandburg College (Galesburg, IL)
Catholic Theological Union at Chicago (Chicago, IL)
Chamberlain University-Administrative Office (Chicago, IL)
Chamberlain University-Illinois (Addison, IL)
Chicago Professional Center (Prospect Heights, IL)
Chicago State University (Chicago, IL)
Chicago Theological Seminary (Chicago, IL)
City Colleges of Chicago-District Office (Chicago, IL)
City Colleges of Chicago-Harold Washington College (Chicago, IL)
City Colleges of Chicago-Harry S Truman College (Chicago, IL)
City Colleges of Chicago-Kennedy-King College (Chicago, IL)
City Colleges of Chicago-Malcolm X College (Chicago, IL)
City Colleges of Chicago-Olive-Harvey College (Chicago, IL)
City Colleges of Chicago-Richard J Daley College (Chicago, IL)
City Colleges of Chicago-Wilbur Wright College (Chicago, IL)
College of DuPage (Glen Ellyn, IL)
College of Lake County (Grayslake, IL)
Columbia College Chicago (Chicago, IL)
Concordia University-Chicago (River Forest, IL)
Cosmetology & Spa Academy (Crystal Lake, IL)
Cosmetology Concepts Niles (Niles, IL)
Coyne College (Chicago, IL)
Creative Touch Cosmetology School (Waterloo, IL)
Curve Metric School of Hair Design (Elmwood Park, IL)
Danville Area Community College (Danville, IL)
DeVry University-Administrative Office (Naperville, IL)
DeVry University-Illinois (Chicago, IL)
Debutantes School of Cosmetology and Nail Technology (Dekalb, IL)
Depaul University (Chicago, IL)
Dominican University (River Forest, IL)
ETI School of Skilled Trades (Willowbrook, IL)
East-West University (Chicago, IL)
Eastern Illinois University (Charleston, IL)
Educators of Beauty College of Cosmetology-Peru (PERU, IL)
Educators of Beauty College of Cosmetology-Rockford (Rockford, IL)
Educators of Beauty College of Cosmetology-Sterling (Sterling, IL)
Elgin Community College (Elgin, IL)
Elmhurst University (Elmhurst, IL)
Empire Beauty School-Hanover Park (Hanover Park, IL)
Empire Beauty School-Stone Park (Stone Park, IL)
Empire Beauty School-Vernon Hills (Vernon Hills, IL)
Erikson Institute (Chicago, IL)
Estelle Medical Academy (Skokie, IL)
Estelle Skin Care and Spa Institute (Skokie, IL)
Eureka College (Eureka, IL)
First Institute of Travel, Inc. (Crystal Lake, IL)
Fox College (Bedford Park, IL)
Frontier Community College (Fairfield, IL)
G Skin & Beauty Institute (Oakbrook, IL)
G Skin & Beauty Institute (Schaumburg, IL)
Garrett-Evangelical Theological Seminary (Evanston, IL)
Gem City College (Quincy, IL)
Governors State University (University Park, IL)
Graham Hospital School of Nursing (Canton, IL)
Greenville University (Greenville, IL)
HVAC Technical Institute (Chicago, IL)
Hair Professionals Career College (Palos Hills, IL)
Hair Professionals Career College (Sycamore, IL)
Hair Professionals School of Cosmetology (Oswego, IL)
Hairmasters Institute of Cosmetology (Bloomington, IL)
Heartland Community College (Normal, IL)
Hebrew Theological College (Skokie, IL)
Highland Community College (Freeport, IL)
Illinois Central College (East Peoria, IL)
Illinois College (Jacksonville, IL)
Illinois College of Optometry (Chicago, IL)
Illinois Eastern Community College-System Office (Olney, IL)
Illinois Institute of Technology (Chicago, IL)
Illinois Media School (Lombard, IL)
Illinois Media School-Chicago Campus (Chicago, IL)
Illinois State University (Normal, IL)
Illinois Valley Community College (Oglesby, IL)
