Academy College (Bloomington, MN)
Cinta Aveda Institute (San Francisco, CA)
Circle in the Square Theatre School (New York, NY)
Cisco College (Cisco, TX)
Citadel Military College of South Carolina (Charleston, SC)
Citizens School of Nursing (Tarentum, PA)
Citrus College (Glendora, CA)
Citrus Heights Beauty College (Citrus Heights, CA)
City College of San Francisco (San Francisco, CA)
City College-Altamonte Springs (Altamonte Springs, FL)
City College-Fort Lauderdale (Fort Lauderdale, FL)
City College-Gainesville (Gainesville, FL)
City College-Hollywood (Hollywood, FL)
City College-Miami (Miami, FL)
City Pointe Beauty Academy (Webb City, MO)
City University of Seattle (Seattle, WA)
City Vision University (Kansas City, MO)
Clackamas Community College (Oregon City, OR)
Claflin University (Orangeburg, SC)
Claremont Graduate University (Claremont, CA)
Claremont Lincoln University (Claremont, CA)
Claremont McKenna College (Claremont, CA)
Claremont School of Theology (Claremont, CA)
Clarendon College (Clarendon, TX)
Clarion University of Pennsylvania (Clarion, PA)
Clark Atlanta University (Atlanta, GA)
Clark College (Vancouver, WA)
Clark State Community College (Springfield, OH)
Clark University (Worcester, MA)
Clarks Summit University (Clarks Summit, PA)
Clarksburg Beauty Academy and School of Massage Therapy (Clarksburg, WV)
Clarkson College (Omaha, NE)
Clarkson University (Potsdam, NY)
Clary Sage College (Tulsa, OK)
Clatsop Community College (Astoria, OR)
Clayton  State University (Morrow, GA)
Clear Creek Baptist Bible College (Pineville, KY)
Clearfield County Career and Technology Center (Clearfield, PA)
Cleary University (Howell, MI)
Clemson University (Clemson, SC)
Cleveland Clinic Health System-School of Diagnostic Imaging (Euclid, OH)
Cleveland Community College (Shelby, NC)
Cleveland Institute of Art (Cleveland, OH)
Cleveland Institute of Music (Cleveland, OH)
Cleveland State Community College (Cleveland, TN)
Cleveland State University (Cleveland, OH)
Cleveland University-Kansas City (Overland Park, KS)
Clinton College (Rock Hill, SC)
Clinton Community College (Plattsburgh, NY)
Clinton Essex Warren Washington BOCES (Plattsburgh, NY)
Clinton Technical School (Clinton, MO)
Cloud County Community College (Concordia, KS)
Clover Park Technical College (Lakewood, WA)
Clovis Adult Education (Clovis, CA)
Clovis Community College (Clovis, NM)
Clovis Community College (Fresno, CA)
Cloyd's Barber School 2 Inc (Monroe, LA)
Cloyd's Beauty School 1 Inc (West Monroe, LA)
Cloyd's Beauty School 3 Inc (Monroe, LA)
Coachella Valley Beauty College (La Quinta, CA)
Coachella Valley Beauty College-Hemet (Hemet, CA)
Coahoma Community College (Clarksdale, MS)
Coast Community College District Office (Costa Mesa, CA)
Coastal Alabama Community College (Bay Minette, AL)
Coastal Bend College (Beeville, TX)
Coastal Carolina Community College (Jacksonville, NC)
Coastal Carolina University (Conway, SC)
Coastal Pines Technical College (Waycross, GA)
Coastline Beauty College (Fountain Valley, CA)
Coastline Beauty College - Hemet (Hemet, CA)
Coastline Community College (Fountain Valley, CA)
Coba Academy (Anaheim, CA)
Cochise County Community College District (Sierra Vista, AZ)
Cochran School of Nursing (Yonkers, NY)
Coconino Community College (Flagstaff, AZ)
Coffeyville Community College (Coffeyville, KS)
Cogswell University of Silicon Valley (San Jose, CA)
Coker University (Hartsville, SC)
Colby College (Waterville, ME)
Colby Community College (Colby, KS)
Colby-Sawyer College (New London, NH)
Colegio Educativo Tecnologico Industrial Inc (Arecibo, PR)
Colegio Mayor de Tecnologia Inc (Arroyo, PR)
Colegio Tecnico de Electricidad Galloza (Aguada, PR)
Colegio Universitario de San Juan (San Juan, PR)
Colegio de Cinematograf?a Artes y Television (Bayamon, PR)
Colgate Rochester Crozer Divinity School (Rochester, NY)
Colgate University (Hamilton, NY)
Collectiv Academy (Sandy, UT)
Colleen O'Haras Beauty Academy (Santa Ana, CA)
College Unbound (Providence, RI)
College for Creative Studies (Detroit, MI)
College of Alameda (Alameda, CA)
College of Biblical Studies-Houston (Houston, TX)
College of Business and Technology-Cutler Bay (Cutler Bay, FL)
College of Business and Technology-Hialeah (Hialeah, FL)
College of Business and Technology-Main Campus (Miami, FL)
College of Central Florida (Ocala, FL)
College of Charleston (Charleston, SC)
College of Coastal Georgia (Brunswick, GA)
College of Cosmetology (Klamath Falls, OR)
College of Court Reporting Inc (Valparaiso, IN)
College of Eastern Idaho (Idaho Falls, ID)
College of Hair Design Careers (Salem, OR)
College of Hair Design-Downtown (Lincoln, NE)
College of Hair Design-East Campus (Lincoln, NE)
College of Health Care Professions (The) (Houston, TX)
College of International Esthetics Inc (Arvada, CO)
College of Marin (Kentfield, CA)
College of Massage Therapy (Blackfoot, ID)
College of Micronesia-FSM (Pohnpei, FM)
College of Mount Saint Vincent (Bronx, NY)
College of Our Lady of the Elms (Chicopee, MA)
College of Saint Mary (Omaha, NE)
College of San Mateo (San Mateo, CA)
College of Southern Idaho (Twin Falls, ID)
College of Southern Maryland (La Plata, MD)
College of Southern Nevada (Las Vegas, NV)
College of Western Idaho (Nampa, ID)
College of William and Mary (Williamsburg, VA)
College of Wilmington (Wilmington, NC)
College of the Albemarle (Elizabeth City, NC)
College of the Atlantic (Bar Harbor, ME)
College of the Canyons (Santa Clarita, CA)
College of the Desert (Palm Desert, CA)
College of the Holy Cross (Worcester, MA)
College of the Mainland (Texas City, TX)
College of the Marshall Islands (Majuro, MH)
College of the Muscogee Nation (Okmulgee, OK)
College of the Ozarks (Point Lookout, MO)
College of the Redwoods (Eureka, CA)
College of the Sequoias (Visalia, CA)
College of the Siskiyous (Weed, CA)
CollegeAmerica-Colorado Springs (Colorado Springs, CO)
CollegeAmerica-Denver (Denver, CO)
CollegeAmerica-Flagstaff (Flagstaff, AZ)
CollegeAmerica-Fort Collins (Fort Collins, CO)
Collin County Community College District (McKinney, TX)
Colorado Academy of Veterinary Technology (Colorado Springs, CO)
Colorado Christian University (Lakewood, CO)
Colorado College (Colorado Springs, CO)
Colorado Media School (Lakewood, CO)
Colorado Mountain College (Glenwood Springs, CO)
Colorado Northwestern Community College (Rangely, CO)
Colorado School of Healing Arts (Lakewood, CO)
Colorado School of Mines (Golden, CO)
Colorado School of Trades (Lakewood, CO)
Colorado School of Traditional Chinese Medicine (Denver, CO)
Colorado State University (Fort Collins, CO)
Colorado State University-Global Campus (Aurora, CO)
Colorado State University-System Office (Denver, CO)
Colorado Technical University-Colorado Springs (Colorado Springs, CO)
Columbia Basin College (Pasco, WA)
Columbia Central University-Caguas (Caguas, PR)
Columbia Central University-Yauco (Yauco, PR)
Columbia College (Centreville, VA)
Columbia College (Columbia, MO)
Columbia College (Columbia, SC)
Columbia College (Sonora, CA)
Columbia College (Vienna, VA)
Columbia College - Eastfield Pleasant Grove (Dallas, TX)
Columbia College - Fort Leonard Wood 58th Trans BN (Fort Leonard Wood, MO)
Columbia College - Springfield TMobile (Springfield, MO)
Columbia College - Tavares PD (Tavares, FL)
Columbia College - USCG Base Honolulu (Honolulu, HI)
Columbia College Hollywood (Tarzana, CA)
Columbia Gorge Community College (The Dalles, OR)
Columbia Institute (Silver Spring, MD)
Columbia International University (Columbia, SC)
Columbia Southern University (Orange Beach, AL)
Columbia State Community College (Columbia, TN)
Columbia Theological Seminary (Decatur, GA)
Columbia University (New York, NY)
Columbia-Greene Community College (Hudson, NY)
Columbiana County Career and Technical Center (Lisbon, OH)
Columbus College of Art and Design (Columbus, OH)
Columbus State Community College (Columbus, OH)
Columbus State University (Columbus, GA)
Columbus Technical College (Columbus, GA)
Commercial Divers International (Goodyear, AZ)
Commonwealth Institute of Funeral Service (Houston, TX)
Commonwealth Technical Institute (Johnstown, PA)
Community Care College (Tulsa, OK)
Community Christian College (Redlands, CA)
Community College of Allegheny County (Pittsburgh, PA)
Community College of Aurora (Aurora, CO)
Community College of Baltimore County (Baltimore, MD)
Community College of Beaver County (Monaca, PA)
Community College of Denver (Denver, CO)
Community College of Philadelphia (Philadelphia, PA)
Community College of Rhode Island (Warwick, RI)
Community College of Vermont (Montpelier, VT)
Community Technology Learning Center of Portage (Ravenna, OH)
Compass Career College (Hammond, LA)
Compass College of Cinematic Arts (Grand Rapids, MI)
Compton College (Compton, CA)
Compu-Med Vocational Careers Corp (Hialeah, FL)
Conception Seminary College (Conception, MO)
Concord University (Athens, WV)
Concorde Career College-Aurora (Aurora, CO)
Concorde Career College-Dallas (Dallas, TX)
Concorde Career College-Garden Grove (Garden Grove, CA)
Concorde Career College-Grand Prairie (Grand Prairie, TX)
Concorde Career College-Kansas City (Kansas City, MO)
Concorde Career College-Memphis (Memphis, TN)
Concorde Career College-North Hollywood (North Hollywood, CA)
Concorde Career College-Portland (Portland, OR)
Concorde Career College-San Antonio (San Antonio, TX)
Concorde Career College-San Bernardino (San Bernardino, CA)
Concorde Career College-San Diego (San Diego, CA)
Concorde Career College-Southaven (Southaven, MS)
Concorde Career Institute-Jacksonville (Jacksonville, FL)
Concorde Career Institute-Miramar (Miramar, FL)
Concorde Career Institute-Orlando (Orlando, FL)
Concorde Career Institute-Tampa (Tampa, FL)
Concordia College (Bronxville, NY)
Concordia Seminary (Saint Louis, MO)
Concordia Theological Seminary (Fort Wayne, IN)
Concordia University Texas (Austin, TX)
Concordia University-Ann Arbor (Ann Arbor, MI)
Concordia University-Irvine (Irvine, CA)
Concordia University-Nebraska (Seward, NE)
Concordia University-Portland (Portland, OR)
Congregation Talmidei Mesivta Tiferes Shmiel Aleksander (Brooklyn, NY)
Connecticut College (New London, CT)
Connors State College (Warner, OK)
Conservatory of Music of Puerto Rico (San Juan, PR)
Conservatory of Recording Arts and Sciences (Tempe, AZ)
Construction Training Center (Columbia, SC)
Continental Academie of Hair Design-Hudson (Hudson, NH)
Continental School of Beauty Culture-Mattydale (Mattydale, NY)
Continental School of Beauty Culture-Olean (Olean, NY)
Continental School of Beauty Culture-Rochester (Rochester, NY)
Continental School of Beauty Culture-West Seneca (West Seneca, NY)
Contra Costa College (San Pablo, CA)
Contra Costa Community College District Office (Martinez, CA)
Contra Costa Medical Career College (Antioch, CA)
Converse College (Spartanburg, SC)
Conway School of Landscape Design (Northampton, MA)
Cooper Union for the Advancement of Science and Art (New York, NY)
Copiah-Lincoln Community College (Wesson, MS)
Copper Mountain Community College (Joshua Tree, CA)
Coppin State University (Baltimore, MD)
Corban University (Salem, OR)
Corinth Academy of Cosmetology (Corinth, MS)
Cornell University - Endowed College (Ithaca, NY)
Cornell University Medical College (New York, NY)
Cornerstone University (Grand Rapids, MI)
Cornish College of the Arts (Seattle, WA)
Cortiva Institute-Arlington (Arlington, TX)
Cortiva Institute-Baltimore (Linthicum, MD)
Cortiva Institute-Cromwell (Cromwell, CT)
Cortiva Institute-Florida (St. Petersburg, FL)
Cortiva Institute-King of Prussia (King of Prussia, PA)
Cortiva Institute-Maitland (Maitland, FL)
Cortiva Institute-Pompano (Pompano Beach, FL)
Cosmetology Academy of Texarkana (Texarkana, TX)
Cosmetology Career Center LLC (Carrollton, TX)
Cosmetology School of Arts and Science LLC (Burley, ID)
Cosmetology Training Center (Lafayette, LA)
Cosmo Beauty Academy (Sacramento, CA)
Cossatot Community College of the University of Arkansas (De Queen, AR)
Cosumnes River College (Sacramento, CA)
Cottey College (Nevada, MO)
County College of Morris (Randolph, NJ)
Covenant College (Lookout Mountain, GA)
Covenant School of Nursing and Allied Health (Lubbock, TX)
Covenant Theological Seminary (Saint Louis, MO)
Cowley County Community College (Arkansas City, KS)
Cox College (Springfield, MO)
Cozmo Beauty School (Bonita Springs, FL)
Crafton Hills College (Yucaipa, CA)
Cranbrook Academy of Art (Bloomfield Hills, MI)
Crave Beauty Academy (Wichita, KS)
Craven Community College (New Bern, NC)
Crawford County Career and Technical Center Practical Nursing Program (Meadville, PA)
Creative Hair School of Cosmetology (Flint, MI)
Creative Images Institute of Cosmetology-North Dayton (Dayton, OH)
Creative Images Institute of Cosmetology-South Dayton (Dayton, OH)
Creighton University (Omaha, NE)
Crescent City Bartending School (New Orleans, LA)
Crevier's Academy of Cosmetology Arts (Kalispell, MT)
Criswell College (Dallas, TX)
Crowder College (Neosho, MO)
Crowley's Ridge College (Paragould, AR)
Cuesta College (San Luis Obispo, CA)
Culinary Institute Inc (Houston, TX)
Culinary Institute of America (Hyde Park, NY)
Culinary Tech Center (New York, NY)
Culpeper Cosmetology Training Center (Culpeper, VA)
Culver-Stockton College (Canton, MO)
Cumberland County College (Vineland, NJ)
Cumberland University (Lebanon, TN)
Curry College (Milton, MA)
Curtis Institute of Music (Philadelphia, PA)
Cutting Edge Academy (Succasunna, NJ)
Cuyahoga Community College District (Cleveland, OH)
Cuyahoga Valley Career Center (Brecksville, OH)
Cuyamaca College (El Cajon, CA)
CyberTex Institute of Technology (Austin, TX)
Cypress College (Cypress, CA)
Cyrus The Great International Online University (Yonkers, NY)
D A Dorsey Technical College (Miami, FL)
D&S School of Cosmetology (Waterford, MI)
D'Jay's Institute of Cosmetology and Esthiology (Baton Rouge, LA)
D'Mart Institute (Barranquitas, PR)
D'Youville College (Buffalo, NY)
DCI Career Institute (Monaca, PA)
DLP Conemaugh Memorial Medical Center (Johnstown, PA)
DSDT (Detroit, MI)
Dabney S Lancaster Community College (Clifton Forge, VA)
Daemen College (Amherst, NY)
Dallas Baptist University (Dallas, TX)
Dallas Barber & Stylist College (Dallas, TX)
Dallas Christian College (Dallas, TX)
Dallas College (Dallas, TX)
Dallas County Community College District (Dallas, TX)
Dallas Institute of Funeral Service (Dallas, TX)
Dallas Theological Seminary (Dallas, TX)
Dalton Institute of Esthetics and Cosmetology (Dalton, GA)
Dalton State College (Dalton, GA)
Daniel Morgan Graduate School of National Security (Washington, DC)
Danville Community College (Danville, VA)
Daoist Traditions College of Chinese Medical Arts (Asheville, NC)
Dartmouth College (Hanover, NH)
Davenport University (Grand Rapids, MI)
David Pressley School of Cosmetology (Royal Oak, MI)
Davidson College (Davidson, NC)
Davidson County Community College (Thomasville, NC)
Davines Professional Academy of Beauty and Business (Lincoln, NE)
Davis & Elkins College (Elkins, WV)
Davis College (Johnson City, NY)
Davis College (Toledo, OH)
Davis Technical College (Kaysville, UT)
Dawn Career Institute LLC (Newark, DE)
Dawson Community College (Glendive, MT)
Dayton Barber College (Miamisburg, OH)
Dayton School of Medical Massage (Dayton, OH)
Daytona College (Ormond Beach, FL)
Daytona State College (Daytona Beach, FL)
De Anza College (Cupertino, CA)
DeHart Technical School (Modesto, CA)
DePauw University (Greencastle, IN)
DeSales University (Center Valley, PA)
DeVry College of New York (New York, NY)
DeVry University-Arizona (Phoenix, AZ)
DeVry University-California (Ontario, CA)
DeVry University-Colorado (Westminster, CO)
DeVry University-Florida (Miramar, FL)
DeVry University-Georgia (Decatur, GA)
DeVry University-Indiana (Merrillville, IN)
DeVry University-Missouri (Kansas City, MO)
DeVry University-Nevada (Henderson, NV)
DeVry University-New Jersey (Iselin, NJ)
DeVry University-North Carolina (Charlotte, NC)
DeVry University-Ohio (Columbus, OH)
DeVry University-Pennsylvania (Ft. Washington, PA)
DeVry University-Tennessee (Nashville, TN)
DeVry University-Texas (Irving, TX)
DeVry University-Virginia (Arlington, VA)
Dean College (Franklin, MA)
Defiance College (Defiance, OH)
Del Mar College (Corpus Christi, TX)
Delaware Chenango Madison Otsego BOCES-Practical Nursing Program (Norwich, NY)
Delaware College of Art and Design (Wilmington, DE)
Delaware County Community College (Media, PA)
Delaware County Technical School-Practical Nursing Program (Broomall, PA)
Delaware Learning Institute of Cosmetology (Dagsboro, DE)
Delaware State University (Dover, DE)
Delaware Technical Community College-Central Office (Dover, DE)
Delaware Technical Community College-Terry (Dover, DE)
Delaware Valley University (Doylestown, PA)
Delgado Community College (New Orleans, LA)
Dell'Arte International School of Physical Theatre (Blue Lake, CA)
Delmarva Beauty Academy (Salisbury, MD)
Delta Beauty College (Greenville, MS)
Delta College (University Center, MI)
Delta College Inc (Covington, LA)
Delta College of Arts & Technology (Baton Rouge, LA)
Delta College of Arts & Technology-Lafayette Campus (Lafayette, LA)
Delta College-Slidell Campus (Slidell, LA)
Delta Designs Cosmetology School (Wynne, AR)
Delta State University (Cleveland, MS)
Delta Technical College (Horn Lake, MS)
Deluxe Barber College (San Antonio, TX)
Denham Springs Beauty School (Denham Springs, LA)
Denison University (Granville, OH)
Denmark College (Merrillville, IN)
Denmark Technical College (Denmark, SC)
Dental Assistant Pro LLC-Columbus (Westerville, OH)
Dental Assistant Pro-Lebanon (Lebanon, OH)
Denver College of Nursing (Denver, CO)
Denver Seminary (Littleton, CO)
Derech Hachaim Seminary (Monroe, NY)
Dermal Science International Aesthetics and Nail Academy (Reston, VA)
Design Institute of San Diego (San Diego, CA)
Design's School of Cosmetology (Paso Robles, CA)
Designer Barber & Stylist School (Ft Smith, AR)
Detroit Business Institute-Downriver (Riverview, MI)
Dewey University-Carolina (Carolina, PR)
Dewey University-Hato Rey (Hato Rey, PR)
Dewey University-Juana D?az (Juana Diaz, PR)
Dewey University-Manati (Manati, PR)
DiGrigoli School of Cosmetology (West Springfield, MA)
Diablo Valley College (Pleasant Hill, CA)
Diamond Beauty College (South El Monte, CA)
Diamonds Cosmetology College (Sherman, TX)
Dickinson College (Carlisle, PA)
Diesel Driving Academy-Baton Rouge (Baton Rouge, LA)
Diesel Driving Academy-Shreveport (Shreveport, LA)
DigiPen Institute of Technology (Redmond, WA)
Digital Film Academy (New York, NY)
Digital Film Academy - Atlanta (Atlanta, GA)
Digital Media Institute at InterTech (Shreveport, LA)
Dillard University (New Orleans, LA)
Diman Regional Technical Institute (Fall River, MA)
Dine College (Tsaile, AZ)
Divers Academy International (ERIAL, NJ)
Divers Institute of Technology (Seattle, WA)
Diversified Vocational College (Los Angeles, CA)
Divine Crown Barber & Beauty Academy (Harrisburg, PA)
Divine Mercy University (Sterling, VA)
Dixie State University (Saint George, UT)
Dixie Technical College (Saint George, UT)
Doane University (Crete, NE)
Dodge City Community College (Dodge City, KS)
Dolce LLC The Academy (Waterbury, CT)
Dominican College of Blauvelt (Orangeburg, NY)
Dominican School of Philosophy & Theology (Berkeley, CA)
Dominican University of California (San Rafael, CA)
Don Roberts School of Hair Design (Schererville, IN)
Dongguk University Los Angeles (Los Angeles, CA)
Donnelly College (Kansas City, KS)
Dorsey School of Business (Madison Heights, MI)
Dorsey School of Business-Dearborn (Detroit, MI)
Dorsey School of Business-Madison Heights (Madison Heights, MI)
Dorsey School of Business-Roseville (Roseville, MI)
Dorsey School of Business-Roseville Culinary Academy (Roseville, MI)
Dorsey School of Business-Saginaw (Saginaw, MI)
Dorsey School of Business-Waterford Pontiac (Pontiac, MI)
Dorsey School of Business-Wayne (Wayne, MI)
Dorsey School of Business-Woodhaven Campus (Woodhaven, MI)
Douglas Education Center (Monessen, PA)
Douglas J Aveda Institute (East Lansing, MI)
Downey Adult School (Downey, CA)
Dr. Ida Rolf Institute (Boulder, CO)
Dragon Rises College of Oriental Medicine (Gainesville, FL)
Drew University (Madison, NJ)
Drexel University (Philadelphia, PA)
Drury University (Springfield, MO)
Drury University-College of Continuing Professional Studies (Springfield, MO)
DuVall's School of Cosmetology (Bedford, TX)
Duke University (Durham, NC)
Duquesne University (Pittsburgh, PA)
Durant Institute of Hair Design (Durant, OK)
Durham Technical Community College (Durham, NC)
Dutchess BOCES-Practical Nursing Program (Poughkeepsie, NY)
Dutchess Community College (Poughkeepsie, NY)
Dyersburg State Community College (Dyersburg, TN)
ECPI University (Virginia Beach, VA)
EDIC College (Caguas, PR)
EDP School (Brooklyn, NY)
EDP University of Puerto Rico Inc-San Juan (San Juan, PR)
EDP University of Puerto Rico Inc-San Sebastian (San Sebastian, PR)
EDP University of Puerto Rico-Humacao (Humacao, PR)
EDP University of Puerto Rico-Manati (Manati, PR)
EDP University of Puerto Rico-Villalba (Villalba, PR)
EHOVE Career Center (Milan, OH)
EINE Inc (Tewksbury, MA)
ETI Technical College (Niles, OH)
Ea La Mar's Cosmetology & Barber College (Kansas City, MO)
Eagle Gate College-Boise Campus (Boise, ID)
Eagle Gate College-Layton (Layton, UT)
Eagle Gate College-Murray (Murray, UT)
Earlham College (Richmond, IN)
East Arkansas Community College (Forrest City, AR)
East Carolina University (Greenville, NC)
East Central College (Union, MO)
East Central Community College (Decatur, MS)
East Central University (Ada, OK)
East Georgia State College (Swainsboro, GA)
East Los Angeles College (Monterey Park, CA)
East Mississippi Community College (Scooba, MS)
East San Gabriel Valley Regional Occupational Program (West Covina, CA)
East Stroudsburg University of Pennsylvania (East Stroudsburg, PA)
East Tennessee State University (Johnson City, TN)
East Texas Baptist University (Marshall, TX)
East Valley Institute of Technology (Mesa, AZ)
East West College of Natural Medicine (Sarasota, FL)
East West College of the Healing Arts (Portland, OR)
Eastern Arizona College (Thatcher, AZ)
Eastern Center for Arts and Technology (Willow Grove, PA)
Eastern College of Health Vocations-Little Rock (Little Rock, AR)
Eastern College of Health Vocations-New Orleans (New Orleans, LA)
Eastern Connecticut State University (Willimantic, CT)
Eastern Florida State College (Cocoa, FL)
Eastern Gateway Community College (Steubenville, OH)
Eastern International College-Belleville (Belleville, NJ)
Eastern International College-Jersey City (Jersey City, NJ)
Eastern Kentucky University (Richmond, KY)
Eastern Maine Community College (Bangor, ME)
Eastern Mennonite University (Harrisonburg, VA)
Eastern Michigan University (Ypsilanti, MI)
Eastern Nazarene College (Quincy, MA)
Eastern New Mexico University Ruidoso Branch Community College (Ruidoso, NM)
Eastern New Mexico University-Main Campus (Portales, NM)
Eastern New Mexico University-Roswell Campus (Roswell, NM)
Eastern Oklahoma County Technology Center (Choctaw, OK)
Eastern Oklahoma State College (Wilburton, OK)
Eastern Oregon University (La Grande, OR)
Eastern School of Acupuncture and Traditional Medicine (Bloomfield, NJ)
Eastern Shore Community College (Melfa, VA)
Eastern Suffolk BOCES (Brentwood, NY)
Eastern Suffolk BOCES (Oakdale, NY)
Eastern Suffolk BOCES (Riverhead, NY)
Eastern University (Saint Davids, PA)
Eastern Virginia Career College (Fredericksburg, VA)
Eastern Virginia Medical School (Norfolk, VA)
Eastern Washington University (Cheney, WA)
Eastern West Virginia Community and Technical College (Moorefield, WV)
Eastern Wyoming College (Torrington, WY)
Eastfield College (Mesquite, TX)
Eastland-Fairfield Career and Technical Schools (Groveport, OH)
Eastwick College-Hackensack (Hackensack, NJ)
Eastwick College-Nutley (Nutley, NJ)
Eastwick College-Ramsey (Ramsey, NJ)
Ecclesia College (Springdale, AR)
Eckerd College (Saint Petersburg, FL)
Ecumenical Theological Seminary (Detroit, MI)
Eden Theological Seminary (Webster Groves, MO)
Edgecombe Community College (Tarboro, NC)
Edinboro University of Pennsylvania (Edinboro, PA)
Edison State Community College (Piqua, OH)
Edmonds College (Lynnwood, WA)
EduMed Partners (Goodlettsville, TN)
Educational Technical College (Lares, PR)
Educational Technical College-Recinto de Bayamon (BAYAMON, PR)
Educational Technical College-Recinto de Coamo (Coamo, PR)
Edward Via College of Osteopathic Medicine (Blacksburg, VA)
Edward Waters College (Jacksonville, FL)
El Camino Community College District (Torrance, CA)
El Paso Community College (El Paso, TX)
Elaine Sterling Institute (Atlanta, GA)
Elaine Steven Beauty College (Saint Louis, MO)
Electrical Training Center (Copiague, NY)
Elevate Salon Institute (Durham, NC)
Elevate Salon Institute (Royal Oak, MI)
Elevate Salon Institute-Chubbuck (Chubbuck, ID)
Elevate Salon Institute-Westminster (Westminster, CO)
Elim Bible Institute and College (Lima, NY)
Elite Academy of Hair Design (Bellaire, OH)
Elite College of Cosmetology (Lexington, TN)
Elite Cosmetology School (Yucca Valley, CA)
Elite Cosmetology, Barber & Spa Academy (Yakima, WA)
Elite School of Cosmetology (Norwalk, OH)
Elite Welding Academy (Houston, TX)
Elite Welding Academy (South Point, OH)
Elite Welding Academy LLC (Cincinnati, OH)
Elizabeth City State University (Elizabeth City, NC)
Elizabeth Grady School of Esthetics and Massage Therapy (Medford, MA)
Elizabethtown College (Elizabethtown, PA)
Elizabethtown Community and Technical College (Elizabethtown, KY)
Elmezzi Graduate School of Molecular Medicine (Manhasset, NY)
Elmira Business Institute (Vestal, NY)
Elmira College (Elmira, NY)
Elon University (Elon, NC)
Elyon College (Brooklyn, NY)
Embry-Riddle Aeronautical University-Daytona Beach (Daytona Beach, FL)
Embry-Riddle Aeronautical University-Prescott (Prescott, AZ)
Embry-Riddle Aeronautical University-Worldwide (Daytona Beach, FL)
Emerald Coast Technical College (DeFuniak Springs, FL)
Emerson College (Boston, MA)
Emily Griffith Technical College (Denver, CO)
Emma's Beauty Academy-Juana Diaz (Juana Diaz, PR)
Emma's Beauty Academy-Mayaguez (Mayaguez, PR)
Emmanuel College (Boston, MA)
Emmanuel College (Franklin Springs, GA)
Emory & Henry College (Emory, VA)
Emory University (Atlanta, GA)
Emory University-Oxford College (Oxford, GA)
Emperor's College of Traditional Oriental Medicine (Santa Monica, CA)
Empire Beauty  School-Lehigh Valley (Whitehall, PA)
Empire Beauty School-Augusta (Augusta, GA)
Empire Beauty School-Aurora (Aurora, CO)
Empire Beauty School-Avondale (Avondale, AZ)
Empire Beauty School-Bloomfield (Bloomfield, NJ)
Empire Beauty School-Bordentown (Bordentown, NJ)
Empire Beauty School-Boston (Boston, MA)
Empire Beauty School-Brooklyn (Brooklyn, NY)
Empire Beauty School-Buffalo (Cheektowaga, NY)
Empire Beauty School-Center City Philadelphia (Philadelphia, PA)
Empire Beauty School-Chandler (Chandler, AZ)
Empire Beauty School-Charlotte (Charlotte, NC)
Empire Beauty School-Cheltenham (Wyncote, PA)
Empire Beauty School-Chenoweth (Louisville, KY)
Empire Beauty School-Cherry Hill (Cherry Hill, NJ)
Empire Beauty School-Cincinnati (Cincinnati, OH)
Empire Beauty School-Concord (Concord, NC)
Empire Beauty School-Dixie (Louisville, KY)
Empire Beauty School-Dunwoody (Dunwoody, GA)
Empire Beauty School-E Memphis (Memphis, TN)
Empire Beauty School-Elizabethtown (Elizabethtown, KY)
Empire Beauty School-Flagstaff (Flagstaff, AZ)
Empire Beauty School-Florence (Florence, KY)
Empire Beauty School-Framingham (Framingham, MA)
Empire Beauty School-Glen Burnie (Glen Burnie, MD)
Empire Beauty School-Gwinnett (Lawrenceville, GA)
Empire Beauty School-Hanover (Hanover, PA)
Empire Beauty School-Harrisburg (Harrisburg, PA)
Empire Beauty School-Hooksett (Hooksett, NH)
Empire Beauty School-Hurstborne (Louisville, KY)
Empire Beauty School-Indianapolis (Indianapolis, IN)
Empire Beauty School-Jackson (Jackson, TN)
Empire Beauty School-Kennesaw (Kennesaw, GA)
Empire Beauty School-Laconia (Laconia, NH)
Empire Beauty School-Lakeland (Lakeland, FL)
Empire Beauty School-Lancaster (Lancaster, PA)
Empire Beauty School-Lauderhill (Lauderhill, FL)
Empire Beauty School-Lebanon (Lebanon, PA)
Empire Beauty School-Littleton (Littleton, CO)
Empire Beauty School-Maine (Portland, ME)
Empire Beauty School-Malden (Malden, MA)
Empire Beauty School-Manhattan (New York, NY)
Empire Beauty School-Michigan (Grand Rapids, MI)
Empire Beauty School-Midlothian (Midlothian, VA)
Empire Beauty School-Monroeville (Monroeville, PA)
Empire Beauty School-Morrow (Morrow, GA)
Empire Beauty School-NE Philadelphia (Philadelphia, PA)
Empire Beauty School-NW Phoenix (Phoenix, AZ)
Empire Beauty School-Nashville (Brentwood, TN)
Empire Beauty School-Newport News (Newport News, VA)
Empire Beauty School-North Hills (Pittsburgh, PA)
Empire Beauty School-Northlake (Atlanta, GA)
Empire Beauty School-Owings Mills (Owings Mills, MD)
Empire Beauty School-Paramus (Paramus, NJ)
Empire Beauty School-Peekskill (Peekskill, NY)
Empire Beauty School-Pineville (Charlotte, NC)
Empire Beauty School-Pottsville (Pottsville, PA)
Empire Beauty School-Queens (Astoria, NY)
Empire Beauty School-Reading (Reading, PA)
Empire Beauty School-Richmond (Richmond, VA)
Empire Beauty School-Rochester (Rochester, NY)
Empire Beauty School-S Memphis (Memphis, TN)
